         181553967 function calls (161947951 primitive calls) in 91.997 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1106775    0.151    0.000    0.151    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.001    0.001    0.151    0.151 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/midifiles.py:322(merged_track)
        1    0.001    0.001    0.149    0.149 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/tracks.py:106(merge_tracks)
  1265008    0.141    0.000    0.141    0.000 {built-in method builtins.hasattr}
   316226    0.108    0.000    0.133    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/wavetable_manager.py:286(<listcomp>)
    16480    0.022    0.000    0.125    0.000 /home/roger/python/lib/python3.11/site-packages/mido/messages/decode.py:66(decode_message)
   733654    0.123    0.000    0.123    0.000 {built-in method math.sin}
   158096    0.087    0.000    0.101    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/soundfont_manager.py:198(get_sample_header)
   634723    0.096    0.000    0.096    0.000 {method 'get' of 'dict' objects}
    49440    0.025    0.000    0.094    0.000 /home/roger/python/lib/python3.11/site-packages/mido/messages/messages.py:114(__init__)
   632452    0.089    0.000    0.089    0.000 {built-in method builtins.setattr}
    16508    0.004    0.000    0.081    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/tracks.py:84(fix_end_of_track)
    16517    0.008    0.000    0.076    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/tracks.py:75(_to_reltime)
   474322    0.072    0.000    0.072    0.000 {built-in method math.cos}
   158062    0.069    0.000    0.069    0.000 /mnt/c/Work/guga/syxg/synth/core/panner.py:57(process)
    16480    0.009    0.000    0.067    0.000 /home/roger/python/lib/python3.11/site-packages/mido/messages/checks.py:44(check_data)
       11    0.001    0.000    0.064    0.006 {method 'extend' of 'list' objects}
    16526    0.008    0.000    0.063    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/tracks.py:67(_to_abstime)
   247821    0.061    0.000    0.061    0.000 /mnt/c/Work/guga/syxg/synth/core/oscillator.py:110(set_mod_wheel)
        1    0.041    0.041    0.059    0.059 /mnt/c/Work/guga/syxg/synth/sf2/parsing/instrument_parser.py:149(_parse_generator_data)
    32943    0.010    0.000    0.059    0.000 /home/roger/python/lib/python3.11/site-packages/mido/messages/checks.py:63(check_data_byte)
   365766    0.057    0.000    0.057    0.000 {method 'copy' of 'dict' objects}
   247821    0.051    0.000    0.051    0.000 /mnt/c/Work/guga/syxg/synth/core/oscillator.py:115(set_breath_controller)
    49440    0.042    0.000    0.048    0.000 /home/roger/python/lib/python3.11/site-packages/mido/messages/specs.py:114(make_msgdict)
   247821    0.045    0.000    0.045    0.000 /mnt/c/Work/guga/syxg/synth/core/oscillator.py:150(set_harmonic_content)
   247821    0.044    0.000    0.044    0.000 /mnt/c/Work/guga/syxg/synth/core/oscillator.py:125(set_foot_controller)
   247821    0.041    0.000    0.041    0.000 /mnt/c/Work/guga/syxg/synth/core/oscillator.py:145(set_brightness)
   247821    0.041    0.000    0.041    0.000 /mnt/c/Work/guga/syxg/synth/core/oscillator.py:135(set_channel_aftertouch)
   247821    0.040    0.000    0.040    0.000 /mnt/c/Work/guga/syxg/synth/core/oscillator.py:140(set_key_aftertouch)
